"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
78,9 Feb 2000 00:21:53.707,9 Feb 2000 05:47:26.776,19533.069
79,9 Feb 2000 09:32:39.781,9 Feb 2000 20:32:15.929,39576.148
80,10 Feb 2000 00:17:22.167,10 Feb 2000 05:42:55.239,19533.071
81,10 Feb 2000 09:28:08.360,10 Feb 2000 20:27:44.508,39576.148
82,11 Feb 2000 00:12:50.626,11 Feb 2000 05:38:23.699,19533.073
83,11 Feb 2000 09:23:36.940,11 Feb 2000 20:23:13.087,39576.148
84,12 Feb 2000 00:08:19.082,12 Feb 2000 05:33:52.159,19533.077
85,12 Feb 2000 09:19:05.518,12 Feb 2000 20:18:41.666,39576.148
86,13 Feb 2000 00:03:47.535,13 Feb 2000 05:29:20.619,19533.084
87,13 Feb 2000 09:14:34.097,13 Feb 2000 20:14:10.245,39576.148
88,13 Feb 2000 23:59:15.985,14 Feb 2000 05:24:49.081,19533.096
89,14 Feb 2000 09:10:02.676,14 Feb 2000 20:09:38.824,39576.148
90,14 Feb 2000 23:54:44.433,15 Feb 2000 05:20:17.546,19533.113
91,15 Feb 2000 09:05:31.255,15 Feb 2000 20:05:07.403,39576.148
92,15 Feb 2000 23:50:12.880,16 Feb 2000 05:15:46.015,19533.134
93,16 Feb 2000 09:00:59.834,16 Feb 2000 20:00:35.982,39576.148
94,16 Feb 2000 23:45:41.329,17 Feb 2000 05:11:14.486,19533.158
95,17 Feb 2000 08:56:28.413,17 Feb 2000 19:56:04.561,39576.148
96,17 Feb 2000 23:41:09.780,18 Feb 2000 05:06:42.960,19533.179
97,18 Feb 2000 08:51:56.993,18 Feb 2000 19:51:33.141,39576.148
98,18 Feb 2000 23:36:38.236,19 Feb 2000 05:02:11.433,19533.197
99,19 Feb 2000 08:47:25.572,19 Feb 2000 19:47:01.720,39576.148
100,19 Feb 2000 23:32:06.694,20 Feb 2000 04:57:39.903,19533.209
101,20 Feb 2000 08:42:54.152,20 Feb 2000 19:42:30.300,39576.148
102,20 Feb 2000 23:27:35.155,21 Feb 2000 04:53:08.371,19533.216
103,21 Feb 2000 08:38:22.731,21 Feb 2000 19:37:58.879,39576.148
104,21 Feb 2000 23:23:03.617,22 Feb 2000 04:48:36.835,19533.218
105,22 Feb 2000 08:33:51.310,22 Feb 2000 19:33:27.458,39576.148
106,22 Feb 2000 23:18:32.078,23 Feb 2000 04:44:05.296,19533.218
107,23 Feb 2000 08:29:19.890,23 Feb 2000 19:28:56.038,39576.148
108,23 Feb 2000 23:14:00.538,24 Feb 2000 04:39:33.756,19533.218
109,24 Feb 2000 08:24:48.469,24 Feb 2000 19:24:24.617,39576.148
110,24 Feb 2000 23:09:28.995,25 Feb 2000 04:35:02.215,19533.220
111,25 Feb 2000 08:20:17.048,25 Feb 2000 19:19:53.195,39576.148
112,25 Feb 2000 23:04:57.450,26 Feb 2000 04:30:30.674,19533.224
113,26 Feb 2000 08:15:45.627,26 Feb 2000 19:15:21.774,39576.148
114,26 Feb 2000 23:00:25.904,27 Feb 2000 04:25:59.135,19533.232
115,27 Feb 2000 08:11:14.205,27 Feb 2000 19:10:50.353,39576.148
116,27 Feb 2000 22:55:54.356,28 Feb 2000 04:21:27.598,19533.242
117,28 Feb 2000 08:06:42.784,28 Feb 2000 19:06:18.932,39576.148
118,28 Feb 2000 22:51:22.808,29 Feb 2000 04:16:56.063,19533.255
119,29 Feb 2000 08:02:11.363,29 Feb 2000 19:01:47.511,39576.148
120,29 Feb 2000 22:46:51.260,1 Mar 2000 04:12:24.530,19533.270
121,1 Mar 2000 07:57:39.942,1 Mar 2000 18:57:16.090,39576.148
122,1 Mar 2000 22:42:19.713,2 Mar 2000 04:07:52.998,19533.285
123,2 Mar 2000 07:53:08.522,2 Mar 2000 18:52:44.670,39576.148
124,2 Mar 2000 22:37:48.168,3 Mar 2000 04:03:21.468,19533.300
125,3 Mar 2000 07:48:37.101,3 Mar 2000 18:48:13.249,39576.148
126,3 Mar 2000 22:33:16.625,4 Mar 2000 03:58:49.937,19533.312
127,4 Mar 2000 07:44:05.680,4 Mar 2000 18:43:41.829,39576.148
128,4 Mar 2000 22:28:45.085,5 Mar 2000 03:54:18.405,19533.321
129,5 Mar 2000 07:39:34.260,5 Mar 2000 18:39:10.408,39576.148
130,5 Mar 2000 22:24:13.546,6 Mar 2000 03:49:46.872,19533.326
131,6 Mar 2000 07:35:02.839,6 Mar 2000 18:34:38.987,39576.148
132,6 Mar 2000 22:19:42.008,7 Mar 2000 03:45:15.336,19533.327
133,7 Mar 2000 07:30:31.419,7 Mar 2000 18:30:07.567,39576.148
134,7 Mar 2000 22:15:10.471,8 Mar 2000 03:40:43.797,19533.326
135,8 Mar 2000 07:25:59.998,8 Mar 2000 18:25:36.146,39576.148
136,8 Mar 2000 22:10:38.932,9 Mar 2000 03:36:12.255,19533.323
137,9 Mar 2000 07:21:28.577,9 Mar 2000 18:21:04.725,39576.148
138,9 Mar 2000 22:06:07.391,10 Mar 2000 03:31:40.713,19533.322
139,10 Mar 2000 07:16:57.156,10 Mar 2000 18:16:33.304,39576.148
140,10 Mar 2000 22:01:35.846,11 Mar 2000 03:27:09.170,19533.324
141,11 Mar 2000 07:12:25.735,11 Mar 2000 18:12:01.883,39576.148
142,11 Mar 2000 21:57:04.299,12 Mar 2000 03:22:37.630,19533.331
143,12 Mar 2000 07:07:54.314,12 Mar 2000 18:07:30.461,39576.148
144,12 Mar 2000 21:52:32.749,13 Mar 2000 03:18:06.092,19533.343
145,13 Mar 2000 07:03:22.893,13 Mar 2000 18:02:59.040,39576.148
146,13 Mar 2000 21:48:01.198,14 Mar 2000 03:13:34.558,19533.360
147,14 Mar 2000 06:58:51.471,14 Mar 2000 17:58:27.619,39576.148
148,14 Mar 2000 21:43:29.648,15 Mar 2000 03:09:03.026,19533.378
149,15 Mar 2000 06:54:20.051,15 Mar 2000 17:53:56.198,39576.148
150,15 Mar 2000 21:38:58.101,16 Mar 2000 03:04:31.496,19533.396
151,16 Mar 2000 06:49:48.630,16 Mar 2000 17:49:24.778,39576.148
152,16 Mar 2000 21:34:26.557,17 Mar 2000 02:59:59.967,19533.410
153,17 Mar 2000 06:45:17.209,17 Mar 2000 17:44:53.357,39576.148
154,17 Mar 2000 21:29:55.016,18 Mar 2000 02:55:28.436,19533.420
155,18 Mar 2000 06:40:45.789,18 Mar 2000 17:40:21.937,39576.148
156,18 Mar 2000 21:25:23.477,19 Mar 2000 02:50:56.902,19533.424
157,19 Mar 2000 06:36:14.368,19 Mar 2000 17:35:50.516,39576.148
158,19 Mar 2000 21:20:51.940,20 Mar 2000 02:46:25.364,19533.424
159,20 Mar 2000 06:31:42.948,20 Mar 2000 17:31:19.095,39576.148
160,20 Mar 2000 21:16:20.403,21 Mar 2000 02:41:53.824,19533.421
161,21 Mar 2000 06:27:11.527,21 Mar 2000 17:26:47.675,39576.148
162,21 Mar 2000 21:11:48.864,22 Mar 2000 02:37:22.282,19533.418
163,22 Mar 2000 06:22:40.106,22 Mar 2000 17:22:16.253,39576.148
164,22 Mar 2000 21:07:17.322,23 Mar 2000 02:32:50.738,19533.416
165,23 Mar 2000 06:18:08.685,23 Mar 2000 17:17:44.832,39576.148
166,23 Mar 2000 21:02:45.778,24 Mar 2000 02:28:19.195,19533.417
167,24 Mar 2000 06:13:37.264,24 Mar 2000 17:13:13.411,39576.148
168,24 Mar 2000 20:58:14.233,25 Mar 2000 02:23:47.653,19533.421
169,25 Mar 2000 06:09:05.842,25 Mar 2000 17:08:41.990,39576.148
170,25 Mar 2000 20:53:42.685,26 Mar 2000 02:19:16.113,19533.428
171,26 Mar 2000 06:04:34.421,26 Mar 2000 17:04:10.569,39576.148
172,26 Mar 2000 20:49:11.137,27 Mar 2000 02:14:44.575,19533.438
173,27 Mar 2000 06:00:03.000,27 Mar 2000 16:59:39.148,39576.148
174,27 Mar 2000 20:44:39.589,28 Mar 2000 02:10:13.040,19533.451
175,28 Mar 2000 05:55:31.579,28 Mar 2000 16:55:07.727,39576.148
176,28 Mar 2000 20:40:08.042,29 Mar 2000 02:05:41.505,19533.464
177,29 Mar 2000 05:51:00.158,29 Mar 2000 16:50:36.306,39576.148
178,29 Mar 2000 20:35:36.496,30 Mar 2000 02:01:09.972,19533.476
179,30 Mar 2000 05:46:28.738,30 Mar 2000 16:46:04.885,39576.148
180,30 Mar 2000 20:31:04.953,31 Mar 2000 01:56:38.440,19533.487
181,31 Mar 2000 05:41:57.317,31 Mar 2000 16:41:33.465,39576.148
182,31 Mar 2000 20:26:33.411,1 Apr 2000 01:52:06.906,19533.495
183,1 Apr 2000 05:37:25.896,1 Apr 2000 12:00:00.000,22954.104

Statistics
"Min Duration",2,2 Jan 2000 03:13:52.545,2 Jan 2000 08:39:25.064,19532.519
"Max Duration",99,19 Feb 2000 08:47:25.572,19 Feb 2000 19:47:01.720,39576.148
"Mean Duration",,,,29518.550
"Total Duration",,,,5401894.739


