"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,12 Jan 2000 23:38:51.008,12 Jan 2000 23:51:11.166,740.158
81,13 Jan 2000 13:20:40.980,13 Jan 2000 13:28:34.120,473.140
82,13 Jan 2000 15:05:30.460,13 Jan 2000 15:18:30.969,780.509
83,13 Jan 2000 16:54:38.767,13 Jan 2000 17:07:07.975,749.208
84,13 Jan 2000 18:45:20.848,13 Jan 2000 18:56:31.074,670.227
85,13 Jan 2000 20:35:04.940,13 Jan 2000 20:47:10.353,725.413
86,13 Jan 2000 22:23:44.817,13 Jan 2000 22:36:54.990,790.173
87,14 Jan 2000 00:13:00.204,14 Jan 2000 00:23:09.384,609.181
88,14 Jan 2000 13:51:49.647,14 Jan 2000 14:03:13.427,683.780
89,14 Jan 2000 15:39:00.839,14 Jan 2000 15:52:08.960,788.120
90,14 Jan 2000 17:29:10.283,14 Jan 2000 17:40:55.569,705.286
91,14 Jan 2000 19:19:40.146,14 Jan 2000 19:30:58.149,678.003
92,14 Jan 2000 21:08:47.255,14 Jan 2000 21:21:34.751,767.495
93,14 Jan 2000 22:57:26.408,14 Jan 2000 23:10:05.703,759.294
94,15 Jan 2000 00:48:43.761,15 Jan 2000 00:52:56.646,252.885
95,15 Jan 2000 12:40:28.281,15 Jan 2000 12:46:34.527,366.246
96,15 Jan 2000 14:24:18.621,15 Jan 2000 14:37:08.338,769.716
97,15 Jan 2000 16:13:05.733,15 Jan 2000 16:25:46.046,760.313
98,15 Jan 2000 18:03:45.517,15 Jan 2000 18:14:59.472,673.955
99,15 Jan 2000 19:53:40.511,15 Jan 2000 20:05:33.935,713.424
100,15 Jan 2000 21:42:23.867,15 Jan 2000 21:55:33.866,789.999
101,15 Jan 2000 23:31:26.414,15 Jan 2000 23:42:22.771,656.357
102,16 Jan 2000 13:10:58.555,16 Jan 2000 13:21:42.244,643.688
103,16 Jan 2000 14:57:37.788,16 Jan 2000 15:10:48.152,790.365
104,16 Jan 2000 16:47:33.476,16 Jan 2000 16:59:30.353,716.878
105,16 Jan 2000 18:38:09.562,16 Jan 2000 18:49:22.180,672.618
106,16 Jan 2000 20:27:25.720,16 Jan 2000 20:40:02.895,757.175
107,16 Jan 2000 22:16:03.067,16 Jan 2000 22:28:56.393,773.327
108,17 Jan 2000 00:06:24.148,17 Jan 2000 00:13:05.959,401.811
109,17 Jan 2000 12:00:55.348,17 Jan 2000 12:03:57.994,182.647
110,17 Jan 2000 13:43:10.396,17 Jan 2000 13:55:44.665,754.269
111,17 Jan 2000 15:31:34.397,17 Jan 2000 15:44:24.651,770.254
112,17 Jan 2000 17:22:09.318,17 Jan 2000 17:33:29.302,679.984
113,17 Jan 2000 19:12:14.953,17 Jan 2000 19:23:57.012,702.059
114,17 Jan 2000 21:01:03.090,17 Jan 2000 21:14:10.057,786.967
115,17 Jan 2000 22:49:56.144,17 Jan 2000 23:01:29.999,693.854
116,18 Jan 2000 12:30:13.989,18 Jan 2000 12:40:07.195,593.206
117,18 Jan 2000 14:16:17.483,18 Jan 2000 14:29:27.120,789.637
118,18 Jan 2000 16:05:57.268,18 Jan 2000 16:18:06.226,728.958
119,18 Jan 2000 17:56:37.547,18 Jan 2000 18:07:47.147,669.599
120,18 Jan 2000 19:46:03.611,18 Jan 2000 19:58:29.416,745.805
121,18 Jan 2000 21:34:40.692,18 Jan 2000 21:47:43.554,782.862
122,18 Jan 2000 23:24:29.481,18 Jan 2000 23:32:47.518,498.037
123,19 Jan 2000 13:02:06.125,19 Jan 2000 13:14:19.628,733.502
124,19 Jan 2000 14:50:05.007,19 Jan 2000 15:03:03.626,778.619
125,19 Jan 2000 16:40:32.526,19 Jan 2000 16:52:00.572,688.046
126,19 Jan 2000 18:30:48.146,19 Jan 2000 18:42:19.910,691.764
127,19 Jan 2000 20:19:42.329,19 Jan 2000 20:32:43.770,781.441
128,19 Jan 2000 22:08:28.475,19 Jan 2000 22:20:31.999,723.524
129,20 Jan 2000 11:49:37.667,20 Jan 2000 11:58:26.577,528.910
130,20 Jan 2000 13:35:00.129,20 Jan 2000 13:48:05.669,785.540
131,20 Jan 2000 15:24:21.990,20 Jan 2000 15:36:43.049,741.059
132,20 Jan 2000 17:15:04.177,20 Jan 2000 17:26:13.266,669.089
133,20 Jan 2000 19:04:40.767,20 Jan 2000 19:16:54.588,733.821
134,20 Jan 2000 20:53:19.017,20 Jan 2000 21:06:27.443,788.426
135,20 Jan 2000 22:42:45.871,20 Jan 2000 22:52:15.281,569.410
136,21 Jan 2000 12:21:06.233,21 Jan 2000 12:32:52.813,706.580
137,21 Jan 2000 14:08:37.790,21 Jan 2000 14:21:42.824,785.035
138,21 Jan 2000 15:58:55.446,21 Jan 2000 16:10:33.232,697.786
139,21 Jan 2000 17:49:19.981,21 Jan 2000 18:00:42.964,682.983
140,21 Jan 2000 19:38:21.412,21 Jan 2000 19:51:15.223,773.811
141,21 Jan 2000 21:27:02.783,21 Jan 2000 21:39:29.424,746.641
142,22 Jan 2000 11:09:12.881,22 Jan 2000 11:16:37.156,444.276
143,22 Jan 2000 12:53:45.955,22 Jan 2000 13:06:43.602,777.647
144,22 Jan 2000 14:42:47.938,22 Jan 2000 14:55:20.663,752.726
145,22 Jan 2000 16:33:29.585,22 Jan 2000 16:44:40.697,671.112
146,22 Jan 2000 18:23:17.042,22 Jan 2000 18:35:18.718,721.677
147,22 Jan 2000 20:11:57.845,22 Jan 2000 20:25:08.293,790.449
148,22 Jan 2000 22:01:08.853,22 Jan 2000 22:11:33.748,624.895
149,23 Jan 2000 11:40:11.275,23 Jan 2000 11:51:23.679,672.403
150,23 Jan 2000 13:27:12.967,23 Jan 2000 13:40:22.072,789.106
151,23 Jan 2000 15:17:18.413,23 Jan 2000 15:29:07.184,708.771
152,23 Jan 2000 17:07:50.395,23 Jan 2000 17:19:06.496,676.101
153,23 Jan 2000 18:57:00.186,23 Jan 2000 19:09:44.638,764.452
154,23 Jan 2000 20:45:38.612,23 Jan 2000 20:58:22.739,764.128
155,23 Jan 2000 22:36:34.017,23 Jan 2000 22:41:42.538,308.521
156,24 Jan 2000 10:29:07.822,24 Jan 2000 10:34:30.791,322.970
157,24 Jan 2000 12:12:35.195,24 Jan 2000 12:25:20.682,765.488
158,24 Jan 2000 14:01:15.400,24 Jan 2000 14:13:58.917,763.517
159,24 Jan 2000 15:51:53.959,24 Jan 2000 16:03:09.534,675.575
160,24 Jan 2000 17:41:52.279,24 Jan 2000 17:53:42.108,709.829
161,24 Jan 2000 19:30:36.965,24 Jan 2000 19:43:46.320,789.355
162,24 Jan 2000 21:19:36.274,24 Jan 2000 21:30:45.116,668.842
163,25 Jan 2000 10:59:22.061,25 Jan 2000 11:09:51.435,629.373
164,25 Jan 2000 12:45:50.748,25 Jan 2000 12:59:01.217,790.470
165,25 Jan 2000 14:35:41.757,25 Jan 2000 14:47:42.323,720.566
166,25 Jan 2000 16:26:19.365,25 Jan 2000 16:37:30.782,671.417
167,25 Jan 2000 18:15:38.493,25 Jan 2000 18:28:12.253,753.761
168,25 Jan 2000 20:04:15.599,25 Jan 2000 20:17:12.313,776.714
169,25 Jan 2000 21:54:25.167,25 Jan 2000 22:01:40.218,435.052
170,26 Jan 2000 09:50:42.600,26 Jan 2000 09:50:47.433,4.833
171,26 Jan 2000 11:31:28.153,26 Jan 2000 11:43:56.628,748.475
172,26 Jan 2000 13:19:44.638,26 Jan 2000 13:32:37.655,773.017
173,26 Jan 2000 15:10:17.549,26 Jan 2000 15:21:39.811,682.262
174,26 Jan 2000 17:00:26.348,26 Jan 2000 17:12:05.098,698.749
175,26 Jan 2000 18:49:16.214,26 Jan 2000 19:02:21.727,785.512
176,26 Jan 2000 20:38:06.890,26 Jan 2000 20:49:50.651,703.761
177,27 Jan 2000 10:18:39.801,27 Jan 2000 10:28:14.897,575.096
178,27 Jan 2000 12:04:31.325,27 Jan 2000 12:17:40.079,788.754
179,27 Jan 2000 13:54:05.802,27 Jan 2000 14:06:18.503,732.701
180,27 Jan 2000 15:44:46.923,27 Jan 2000 15:55:56.090,669.166
181,27 Jan 2000 17:34:16.175,27 Jan 2000 17:46:38.331,742.155
182,27 Jan 2000 19:22:53.464,27 Jan 2000 19:35:58.441,784.977
183,27 Jan 2000 21:12:34.660,27 Jan 2000 21:21:16.774,522.114
184,28 Jan 2000 10:50:25.180,28 Jan 2000 11:02:31.090,725.910
185,28 Jan 2000 12:38:15.897,28 Jan 2000 12:51:16.715,780.818
186,28 Jan 2000 14:28:40.636,28 Jan 2000 14:40:11.518,690.882
187,28 Jan 2000 16:18:59.134,28 Jan 2000 16:30:28.008,688.874
188,28 Jan 2000 18:07:55.422,28 Jan 2000 18:20:54.720,779.297
189,28 Jan 2000 19:56:39.887,28 Jan 2000 20:08:51.182,731.296
190,29 Jan 2000 09:38:06.570,29 Jan 2000 09:46:32.033,505.463
191,29 Jan 2000 11:23:14.925,29 Jan 2000 11:36:18.464,783.538
192,29 Jan 2000 13:12:30.870,29 Jan 2000 13:24:55.588,744.718
193,29 Jan 2000 15:03:13.160,29 Jan 2000 15:14:22.600,669.440
194,29 Jan 2000 16:52:53.074,29 Jan 2000 17:05:03.148,730.074
195,29 Jan 2000 18:41:31.968,29 Jan 2000 18:54:41.367,789.399
